what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1280168678487
java.vm.vendor,sysinfo,,,"Apple Inc.",1280168678487
java.vm.version,sysinfo,,,"16.3-b01-279",1280168678487
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1280168680599
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1280168680643
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1280168680675
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280168694688
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280168697186
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280168698213
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1280168698766
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1280168699253
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1280168699321
